Instruction,Input,Output,materi,question_id,Template,correct_answer
Edit the following Python code such that it will print an array containing the seven days of the week.,"days = [""Monday"", ""Thuesday"", ""Wednesday"", ""Thrusday"", ""Friday""]

for day in days:
    print(day)","days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(day)",Introduction Python,2,"days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(___)",day
Generate a code snippet to print a pattern of stars in Python.,rows = 5,"# Use two for loops to print pattern
for i in range(0, rows):
    for j in range(0, i + 1):
        print(""* "", end="""")
    print(""\r"")",Introduction Python,11,"# Use two for loops to print pattern
for i in range(0, rows):
    for j in range(0, i + 1):
        print(___)
    print(""\r"")","""* "", end="""""
Create a Python program to loop through a given list and print each item on a new line.,"my_list = [""apples"", ""oranges"", ""bananas""]","for item in my_list:
    print(item)",Introduction Python,58,"for item in my_list:
    print(___)",item
Write a Python program to print the 3 most common elements of a given list.,"Input = [2, 5, 3, 7, 8, 5, 10, 19, 20]","from collections import Counter

Input = [2, 5, 3, 7, 8, 5, 10, 19, 20] 
  
Counter = Counter(Input) 
  
most_occur = Counter.most_common(3)

for i in most_occur: 
    print(i[0], "":"", i[1])",Introduction Python,72,"from collections import Counter

Input = [2, 5, 3, 7, 8, 5, 10, 19, 20] 
  
Counter = Counter(Input) 
  
most_occur = Counter.most_common(3)

for i in most_occur: 
    print(___)","i[0], "":"", i[1]"
"Design a Python program to read in a list of list of strings, eliminate duplicate entries, sort them and print out the result.","[['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]","def removeduplicates(list_of_string):
    result = []
    for item in list_of_string:
        if item not in result:
            result.append(item)
    result.sort()
    return result

list_of_string = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(removeduplicates(list_of_string))",Introduction Python,76,"def removeduplicates(list_of_string):
    result = []
    for item in list_of_string:
        if item not in result:
            result.append(item)
    result.sort()
    return result

list_of_string = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(___))",removeduplicates(list_of_string
Edit a python program to print the square of a number input by the user.,"num = input(""Enter a number: "")","num = input(""Enter a number: "")

num = int(num)

print(""The square of the number is:"", num**2)",Introduction Python,84,"num = input(""Enter a number: "")

num = int(num)

print(___)","""The square of the number is:"", num**2"
Find the most efficient Python code to print all the divisors of an input number.,input = 28,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print (i)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",Introduction Python,96,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print(___)

# take input from the user
input = 28

# print the divisors
print_divisors(input)",i
You are given the following string. Write a Python program to print how many times each word appears in the string.,"input_string = ""This is an exmaple of a string.""","def count_words(input_string):
  words_count = {}
  words = input_string.split()
  for word in words:
    if word in words_count:
      words_count[word] += 1
    else:
      words_count[word] = 1
  return words_count

words_count = count_words(input_string)
print(words_count)",Introduction Python,112,"def count_words(input_string):
  words_count = {}
  words = input_string.split()
  for word in words:
    if word in words_count:
      words_count[word] += 1
    else:
      words_count[word] = 1
  return words_count

words_count = count_words(input_string)
print(___)",words_count
Edit this python code to make the output print in descending order (from highest to lowest).,"my_list = [10,2,5,1,20]

for x in my_list:
    print(x)","my_list = [10,2,5,1,20]

for x in my_list:
    print(x)
    
for x in sorted(my_list, reverse=True):
    print(x)",Introduction Python,126,"my_list = [10,2,5,1,20]

for x in my_list:
    print(___)
    
for x in sorted(my_list, reverse=True):
    print(x)",x
Develop an algorithm in Python to print an array in reverse order.,"[1, 2, 3, 4, 5]","def reverse_array(arr):
    return arr[::-1]

arr = [1, 2, 3, 4, 5]
print(reverse_array(arr))",Introduction Python,149,"def reverse_array(arr):
    return arr[::-1]

arr = [1, 2, 3, 4, 5]
print(___))",reverse_array(arr
Create a Python script to print out each word that begins with a vowel in a sentence.,Sentence: The quick brown fox jumped over the lazy dog,"for word in sentence.split():
    if word[0].lower() in 'aeiou':
        print(word)",Introduction Python,160,"for word in sentence.split():
    if word[0].lower() in 'aeiou':
        print(___)",word
Write a Python program to traverse a tree data structure and print all the nodes in preorder.,"tree 
	 /   \   
    1     2 
  /      / \ 
 3      4   5","def preorder(tree): 
    if tree: 
        print(tree.val) 
        preorder(tree.left) 
        preorder(tree.right) 
  
# Driver code  
tree = Node(1) 
tree.left = Node(2) 
tree.right = Node(3) 
tree.left.left = Node(4) 
tree.left.right = Node(5) 
  
preorder(tree)",Introduction Python,161,"def preorder(tree): 
    if tree: 
        print(___) 
        preorder(tree.left) 
        preorder(tree.right) 
  
# Driver code  
tree = Node(1) 
tree.left = Node(2) 
tree.right = Node(3) 
tree.left.left = Node(4) 
tree.left.right = Node(5) 
  
preorder(tree)",tree.val
Create a program to print the following ASCII art using python.,"( _ _ )
| o o |
|  ^  |
| \_/ |","print('  ( _ _ )')
print('  | o o |')
print('  |  ^  |')
print('  | \_/ |')",Introduction Python,171,"print(___)')
print('  | o o |')
print('  |  ^  |')
print('  | \_/ |')",'  ( _ _ 
Create a Python program to print out a multiplication table. The table should print out the first 10 multiples of a given number.,2,"number = int(input(""Please enter a number:""))

for i in range(1, 11):
 print(f'{number} * {i} = {number*i}')",Introduction Python,177,"number = int(input(""Please enter a number:""))

for i in range(1, 11):
 print(___)",f'{number} * {i} = {number*i}'
"Using the input provided, write a Python program to print the sum of the numbers in both lists.","list1 = [7, 4, 5] 
list2 = [8, 10, 4]","list3 = list1 + list2

total = 0

for num in list3:
    total += num 

print(total)  # output: 29",Introduction Python,183,"list3 = list1 + list2

total = 0

for num in list3:
    total += num 

print(___)  # output: 29",total
write a python code to print the common elements in between two given sets.,"set1 = {1, 2, 3, 4, 5, 6, 7}
set2 = {2, 4, 5, 6}","def common_elements(set1, set2): 
    return set1 & set2

print(common_elements({1,2,3,4,5,6,7}, {2,4,5,6}))",Introduction Python,194,"def common_elements(set1, set2): 
    return set1 & set2

print(___))","common_elements({1,2,3,4,5,6,7}, {2,4,5,6}"
Generate a python program to print the given sentence in reverse.,"Sentence: ""This is an example""","def reverse_string(s):
    return s[::-1]

print(reverse_string(""This is an example""))",Introduction Python,223,"def reverse_string(s):
    return s[::-1]

print(___))","reverse_string(""This is an example"""
Create a basic web scraper in Python using the requests library and the Beautiful Soup library. The web scraper should take a URL as an argument and print the text content of the page.,Url: https://example.com,"import requests
from bs4 import BeautifulSoup

# Define the URL
url = 'https://example.com'

# Make a request
response = requests.get(url)

# Parse the HTML
soup = BeautifulSoup(response.text, 'html.parser')

# Print the text contents
print(soup.text)",Introduction Python,242,"import requests
from bs4 import BeautifulSoup

# Define the URL
url = 'https://example.com'

# Make a request
response = requests.get(url)

# Parse the HTML
soup = BeautifulSoup(response.text, 'html.parser')

# Print the text contents
print(___)",soup.text
Write a Python program to print out the factorial of a number.,7,"def factorial(x):
    factorial = 1
    while x > 1:
        factorial = factorial * x
        x = x - 1
    return factorial

number = 7
result = factorial(number)
print(result)",Introduction Python,275,"def factorial(x):
    factorial = 1
    while x > 1:
        factorial = factorial * x
        x = x - 1
    return factorial

number = 7
result = factorial(number)
print(___)",result
Construct a for loop in Python to print all the values from a list of numbers.,"mylist = [1, 2, 3, 4, 5]","for x in mylist: 
  print(x)",Introduction Python,285,"for x in mylist: 
  print(___)",x
Write a Python program to divide two numbers and print the quotient and the remainder.,"Number1: 15
Number2: 4","def divide(num1, num2):
    quotient = num1 // num2
    remainder = num1 % num2
    return quotient, remainder

quotient, remainder = divide(15, 4)
print(""Quotient :"", quotient)
print(""Remainder :"", remainder)",Introduction Python,317,"def divide(num1, num2):
    quotient = num1 // num2
    remainder = num1 % num2
    return quotient, remainder

quotient, remainder = divide(15, 4)
print(___)
print(""Remainder :"", remainder)","""Quotient :"", quotient"
Develop a program to print all unique strings from a given array of strings,"[""Hello"", ""World"", ""Hello"", ""Python""]","def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(result)",Introduction Python,318,"def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(___)",result
Write a Python program to print the following string pattern.,*__*__*,"for i in range(3):
    for j in range(3):
        if (i == j) or (i + j == 2):
            print('*', end="""")
        else:
            print('_', end="""")
    print()",Introduction Python,329,"for i in range(3):
    for j in range(3):
        if (i == j) or (i + j == 2):
            print(___)
        else:
            print('_', end="""")
    print()","'*', end="""""
Create a Python program to search a string and print the index of all instances of a specific character.,"string = ""abcdefghi""
character = ""d""","def search_character(string, character):
 indices = []
 for i in range(len(string)):
  if string[i] == character:
   indices.append(i)
 return indices

print(search_character(string, character)) # [3]",Introduction Python,335,"def search_character(string, character):
 indices = []
 for i in range(len(string)):
  if string[i] == character:
   indices.append(i)
 return indices

print(___)) # [3]","search_character(string, character"
Develop a Python code to print a string in reverse order.,"""Hello, World!""","str = ""Hello, World!""

# loop to iterate through string
for i in range(len(str)-1, -1, -1):
  print(str[i],end="""")

print()",Introduction Python,345,"str = ""Hello, World!""

# loop to iterate through string
for i in range(len(str)-1, -1, -1):
  print(___)

print()","str[i],end="""""
Write a Python program to print all combinations of three numbers from the given list.,"num_list = [1, 2, 3, 4]","import itertools 
  
# initializing list 
num_list = [1, 2, 3, 4] 
  
# printing all possible combinations 
result = itertools.combinations(num_list, 3) 
  
# printing the result 
print(""All possible combinations are : "") 
for item in result: 
    print(item)",Introduction Python,350,"import itertools 
  
# initializing list 
num_list = [1, 2, 3, 4] 
  
# printing all possible combinations 
result = itertools.combinations(num_list, 3) 
  
# printing the result 
print(___) 
for item in result: 
    print(item)","""All possible combinations are : """
Write a Python program to accept a string input from the user and print each character in a list.,"String: ""Hello World""","user_input = input(""Enter a string: "")

char_list = []

for char in user_input:
 char_list.append(char)

print(char_list)",Introduction Python,354,"user_input = input(""Enter a string: "")

char_list = []

for char in user_input:
 char_list.append(char)

print(___)",char_list
